energy,intensity
445.99906773653208,-0.033858244626436926
446.0200814157235,-0.032538581067182777
446.04109509491491,-0.031258878122647327
446.06210877410638,-0.030018535712102133
446.08312245329779,-0.028816953754828609
446.1041361324892,-0.027653532170098166
446.12514981168061,-0.026527670877185522
446.14616349087203,-0.025438769795365482
446.1671771700635,-0.024386228843910056
446.18819084925491,-0.023369447942099636
446.20920452844632,-0.022387827009206128
446.23021820763773,-0.021440765964504331
446.25123188682915,-0.020527664727268968
446.27224556602062,-0.019647923216772521
446.29325924521203,-0.018800941352294466
446.31427292440344,-0.017986119053107222
446.33528660359485,-0.017202856238485512
446.35630028278626,-0.0164505528277041
446.37731396197773,-0.015728608740035878
446.39832764116915,-0.01503642389475951
446.41934132036056,-0.014373398211147755
446.44035499955197,-0.013738931608475398
446.46136867874338,-0.013132424006017218
446.48238235793485,-0.01255327532304646
446.50339603712627,-0.012000885478840997
446.52440971631768,-0.01147465439267404
446.54542339550909,-0.010973981983820318
446.5664370747005,-0.010498268171554644
446.58745075389197,-0.010046912875150582
446.60846443308338,-0.0096193160138853123
446.6294781122748,-0.0092148775070324193
446.65049179146621,-0.0088329972738666121
446.67150547065762,-0.0084730752336627108
446.69251914984909,-0.0081345113056945778
446.7135328290405,-0.0078167054092387819
446.73454650823192,-0.0075190574635692203
446.75556018742333,-0.0072409673879606021
446.77657386661474,-0.0069818351016877334
446.79758754580621,-0.0067410605240247473
446.81860122499762,-0.006518043574247713
446.83961490418903,-0.0063121841716307636
446.86062858338045,-0.006122882235448622
446.88164226257186,-0.0059495376849760737
446.90265594176333,-0.0057915504394874737
446.92366962095474,-0.0056483204182584887
446.94468330014615,-0.0055192475405633906
446.96569697933757,-0.0054037317256769787
446.98671065852898,-0.0053011728928740037
447.00772433772045,-0.0052109709614290636
447.02873801691186,-0.0051325258506173671
447.04975169610327,-0.005065237479713422
447.07076537529468,-0.0050085057679920136
447.0917790544861,-0.0049617306347279413
447.11279273367757,-0.0049243119991958378
447.13380641286898,-0.0048956497806706967
447.15482009206039,-0.0048751438984271922
447.1758337712518,-0.0048621942717400751
447.19684745044322,-0.0048562008198841308
447.21786112963468,-0.0048565634621341412
447.2388748088261,-0.0048626821177648397
447.25988848801751,-0.0048739567060510289
447.28090216720892,-0.0048897871462674838
447.30191584640033,-0.0049095733576889379
447.3229295255918,-0.0049327152595902736
447.34394320478322,-0.0049586127712460959
447.36495688397463,-0.0049866658119312804
447.38597056316604,-0.0050162743009205535
447.40698424235745,-0.0050468381574886971
447.42799792154892,-0.0050777573009105938
447.44901160074033,-0.0051084316504608207
447.47002527993175,-0.0051382611254142327
447.49103895912316,-0.0051666456450456186
447.51205263831457,-0.0051929851286297256
447.53306631750604,-0.0052166794954414154
447.55407999669745,-0.005237128664755307
447.57509367588887,-0.005253732555846255
447.59610735508028,-0.0052658910879890171
447.61712103427169,-0.0052730041804583613
447.63813471346316,-0.0052744717525290731
447.65914839265457,-0.0052696937234759135
447.68016207184598,-0.0052580700125736471
447.7011757510374,-0.0052390005390970662
447.72218943022881,-0.0052118852223209319
447.74320310942028,-0.0051761239815199013
447.76421678861169,-0.005131116735968947
447.7852304678031,-0.0050762634049427643
447.80624414699452,-0.0050109639077161004
447.82725782618593,-0.0049346181635637545
447.8482715053774,-0.0048466260917602276
447.86928518456881,-0.0047463876115807595
447.89029886376022,-0.0046333026422999204
447.91131254295163,-0.0045067711031924647
447.93232622214305,-0.0043661929135331706
447.95333990133452,-0.0042109679925963692
447.97435358052593,-0.0040404962596576714
447.99536725971734,-0.0038541776339914499
448.01638093890875,-0.0036515182627584845
448.03739461810017,-0.0034327365362736284
448.05840829729163,-0.0031983436423121299
448.07942197648305,-0.0029488516692847064
448.10043565567446,-0.0026847727056001584
448.12144933486587,-0.0024066188396679143
448.14246301405728,-0.0021149021598974097
448.16347669324875,-0.0018101347546972107
448.18449037244017,-0.0014928287124784268
448.20550405163158,-0.001163496121649666
448.22651773082299,-0.00082264907062034806
448.2475314100144,-0.00047079964779991185
448.26854508920587,-0.00010845994159679358
448.28955876839728,0.00026385795957761457
448.3105724475887,0.00064564196731486598
448.33158612678011,0.0010363799932055183
448.35259980597152,0.0014355599488401517
448.37361348516299,0.0018426697458104255
448.3946271643544,0.0022571972957047427
448.41564084354582,0.0026786305101147443
448.43665452273723,0.0031064573006310044
448.45766820192864,0.0035401655788440869
448.47868188112011,0.0039792432563457627
448.49969556031152,0.0044231782447242416
448.52070923950293,0.0048714584555712599
448.54172291869435,0.0053235718004773927
448.56273659788576,0.0057790061910332063
448.58375027707723,0.0062372495388305221
448.60476395626864,0.0066977897554574275
448.62577763546005,0.0071601147525057352
448.64679131465147,0.007623712441566002
448.66780499384288,0.008088070734228809
448.68881867303435,0.008552677542085994
448.70983235222576,0.0090170207767255994
448.73084603141717,0.0094805883497394577
448.75185971060858,0.0099428681727181372
448.7728733898,0.010403348157252211
448.79388706899147,0.010861516214933489
448.81490074818288,0.011316860257350065
448.83591442737429,0.011768868196093742
448.8569281065657,0.012217027942755098
448.87794178575712,0.01266082740892471
448.89895546494859,0.013099754506194314
448.91996914414,0.013533297146152125
448.94098282333141,0.013960943240389892
448.96199650252282,0.014382180700498196
448.98301018171423,0.014796497438067603
449.0040238609057,0.015203381364689777
449.02503754009712,0.015602320391953087
449.04605121928853,0.015992802431449207
449.06706489847994,0.016374315394768732
449.08807857767135,0.016746347193502202
449.10909225686282,0.017108385739241175
449.13010593605424,0.017459918943574248
449.15111961524565,0.017800434718093009
449.17213329443706,0.018129420974387991
