energy,intensity
445.99906773653208,-0.0043319851754288529
446.01831437545991,-0.0042904758072426731
446.03756101438779,-0.0042491814879974362
446.05680765331562,-0.0042081017457832083
446.07605429224344,-0.0041672361086896939
446.09530093117127,-0.0041265841048067136
446.11454757009915,-0.0040861452622239763
446.13379420902697,-0.004045919109031541
446.1530408479548,-0.0040059051733191157
446.17228748688262,-0.0039661029831765202
446.19153412581051,-0.0039265120666934685
446.21078076473833,-0.003887131951960012
446.23002740366616,-0.0038479621670658593
446.24927404259398,-0.003809002240100836
446.26852068152186,-0.0037702516991546509
446.28776732044969,-0.003731710072317357
446.30701395937751,-0.003693376887678664
446.32626059830534,-0.0036552516733283965
446.34550723723322,-0.0036173339573562667
446.36475387616105,-0.0035796232678523203
446.38400051508887,-0.0035421191329062713
446.4032471540167,-0.0035048210806079435
446.42249379294458,-0.0034677286390470525
446.4417404318724,-0.0034308413363136393
446.46098707080023,-0.00339415870049742
446.48023370972805,-0.0033576802596882172
446.49948034865594,-0.0033214055419757502
446.51872698758376,-0.0032853340754500542
446.53797362651159,-0.0032494653882008499
446.55722026543941,-0.0032137990083179573
446.57646690436729,-0.0031783344638910984
446.59571354329512,-0.0031430712830103065
446.61496018222294,-0.0031080089937653007
446.63420682115077,-0.0030731471242459035
446.65345346007865,-0.0030384852025418388
446.67270009900648,-0.0030040227567431355
446.6919467379343,-0.0029697593149395126
446.71119337686213,-0.002935694405220797
446.73044001579001,-0.0029018275556767109
446.74968665471783,-0.00286815829439728
446.76893329364566,-0.0028346861494722266
446.78817993257348,-0.0028014106489913761
446.80742657150137,-0.0027683313210444547
446.82667321042919,-0.0027354476937214802
446.84591984935702,-0.002702759295112182
446.86516648828484,-0.0026702656533063814
446.88441312721272,-0.0026379662963938086
446.90365976614055,-0.0026058607524644777
446.92290640506837,-0.0025739485496081189
446.9421530439962,-0.0025422292159145536
446.96139968292408,-0.0025107022794735143
446.98064632185191,-0.002479367268375012
446.99989296077973,-0.0024482237107087759
447.01913959970756,-0.0024172711345646315
447.03838623863544,-0.0023865090680323118
447.05763287756326,-0.0023559370392018221
447.07687951649109,-0.0023255545761628961
447.09612615541892,-0.0022953612070053565
447.1153727943468,-0.0022653564598189399
447.13461943327462,-0.0022355398626936491
447.15386607220245,-0.0022059109437192158
447.17311271113027,-0.0021764692309854676
447.19235935005815,-0.0021472142525821403
447.21160598898598,-0.0021181455365992313
447.23085262791381,-0.0020892626111264781
447.25009926684163,-0.0020605650042537049
447.26934590576951,-0.0020320522440706512
447.28859254469734,-0.0020037238586673102
447.30783918362516,-0.0019755793761334216
447.32708582255304,-0.0019476183245587268
447.34633246148087,-0.0019198402320332142
447.3655791004087,-0.001892244626646626
447.38482573933652,-0.0018648310364887859
447.4040723782644,-0.0018375989896494385
447.42331901719223,-0.0018105480142185677
447.44256565612005,-0.0017836776382859176
447.46181229504788,-0.0017569873899413121
